value,label,pattern,vendors[],color
detroit-city,Detroit City,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/detroit-city.jpg,zapcables,
frog-spot-camo,Frog Spot Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/frog-spot-camo.jpg,zapcables,
harvest,Harvest,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/harvest.jpg,zapcables,
lava-flow,Lava Flow,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/lava-flow.jpg,zapcables,
mach-1,Mach 1,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/mach-1.jpg,zapcables,
missile-command,Missile Command,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/missile-command.jpg,zapcables,
octane,Octane,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/octane.jpg,zapcables,
old-glory,Old Glory,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/old-glory.jpg,zapcables,
parade,Parade,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/parade.jpg,zapcables,
party-night,Party Night,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/party-night.jpg,zapcables,
ufo,UFO,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/ufo.jpg,zapcables,
cartoon,Cartoon,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cartoon.jpg,zapcables,
rorschach,Rorschach,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/rorschach.jpg,zapcables,
snow-camo,Snow Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/snow-camo.jpg,zapcables,
black,Black,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black.jpg,zapcables,
black-blue-x,Black with Blue X,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-blue-x.jpg,zapcables,
black-gray-x-2,Black with Gray X,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-gray-x-2.jpg,zapcables,
black-kelly-x,Black with Green X,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-kelly-x.jpg,zapcables,
black-orange-x,Black with Orange X,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-orange-x.jpg,zapcables,
black-pink-x,Black with Pink X,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-pink-x.jpg,zapcables,
black-purple-x,Black with Purple X,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-purple-x.jpg,zapcables,
dark-stripes,Dark Stripes,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/dark-stripes.jpg,zapcables,
diamonds,Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/diamonds.jpg,zapcables,
jedi,Jedi,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/jedi.jpg,zapcables,
thin-red-line,Thin Red Line,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/thin-red-line.jpg,zapcables,
starry-night-2,Starry Night,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/starry-night-2.jpg,zapcables,
lightning-2,Lightning 2,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/lightning-2.jpg,zapcables,
touch-gray,Touch of Gray,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/touch-gray.jpg,zapcables,
undead-2,Undead,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/undead-2.jpg,zapcables,
zebra,Zebra,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/zebra.jpg,zapcables,
reaper,Reaper,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/reaper.jpg,zapcables,
galaxy,Galaxy,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/galaxy.jpg,zapcables,
urban-camo,Urban Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/urban-camo.jpg,zapcables,
black-gold,Black and Gold,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-gold.jpg,zapcables,
black-gold-tracer,Black w/ Gold Tracer,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-gold-tracer.jpg,zapcables,
black-red-tracers,Black w/ Metallic Red Tracer,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/black-red-tracers.jpg,zapcables,
metallic-blue-tracer,Black w/ Metallic Blue Tracer,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/metallic-blue-tracer.jpg,zapcables,
white-2,White,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/white-2.jpg,zapcables,
cream-2,Cream,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cream-2.jpg,zapcables,
charcoal-2,Charcoal,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/charcoal-2.jpg,zapcables,
gunmetal-gray-2,Gunmetal Gray,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/gunmetal-gray-2.jpg,zapcables,
silver-gray-3,Silver Gray,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/silver-gray-3.jpg,zapcables,
racing-stripes,Racing Stripes,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/racing-stripes.jpg,zapcables,
lifeguard,Lifeguard,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/lifeguard.jpg,zapcables,
grayscale-1,Grayscale,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/grayscale-1.jpg,zapcables,
white-gitd-2,White (Glow in the Dark),https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/white-gitd-2.jpg,zapcables,
navy-2,Navy Blue,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/navy-2.jpg,zapcables,
electric-blue,Electric Blue,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/electric-blue.jpg,zapcables,
royal-blue-3,Royal Blue,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/royal-blue-3.jpg,zapcables,
light-blue-2,Light Blue,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/light-blue-2.jpg,zapcables,
caribbean-1,Caribbean,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/caribbean-1.jpg,zapcables,
neon-turquoise-1,Neon Turquoise,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-turquoise-1.jpg,zapcables,
turquoise-3,Turquoise,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/turquoise-3.jpg,zapcables,
turquoise-diamond,Turquoise Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/turquoise-diamond.jpg,zapcables,
