value,label,pattern,vendors[],color
fuchsia-2,Fuchsia,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/fuchsia-2.jpg,zapcables,
salmon-2,Salmon,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/salmon-2.jpg,zapcables,
pink-camo,Pink Camo,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/pink-camo.jpg,zapcables,
cotton-candy,Cotton Candy,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/cotton-candy.jpg,zapcables,
country-girl,Country Girl,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/country-girl.jpg,zapcables,
sugar-rush-3,Sugar Rush,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/sugar-rush-3.jpg,zapcables,
neon-pink-diamond,Neon Pink Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-pink-diamond.jpg,zapcables,
neon-pink-ninja,Neon Pink Ninja,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-pink-ninja.jpg,zapcables,
nerds-2,Nerds,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/nerds-2.jpg,zapcables,
pink-panther,Pink Panther,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/pink-panther.jpg,zapcables,
pink-rebellion,Pink Rebellion,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/pink-rebellion.jpg,zapcables,
pixie-sticks,Pixie Sticks,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/pixie-sticks.jpg,zapcables,
rosa-noche,Rosa Noche,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/rosa-noche.jpg,zapcables,
rose-pink-fuchsia-diamonds,Rose Pink with Fuchsia Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/rose-pink-fuchsia-diamonds.jpg,zapcables,
candy-snake-2,Candy Snake,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/candy-snake-2.jpg,zapcables,
acid-purple,Acid Purple,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/acid-purple.jpg,zapcables,
purple,Purple,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/purple.jpg,zapcables,
lavender,Lavender,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/lavender.jpg,zapcables,
acid-purple-diamonds-2,Acid Purple Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/acid-purple-diamonds-2.jpg,zapcables,
aloha-2,Aloha,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/aloha-2.jpg,zapcables,
chill,Chill,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/chill.jpg,zapcables,
hometown-hero-2,Hometown Hero,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/hometown-hero-2.jpg,zapcables,
royal-blitz,Royal Blitz,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/royal-blitz.jpg,zapcables,
mystique-2019,Mystique,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/mystique-2019.jpg,zapcables,
orchid,Orchid,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/orchid.jpg,zapcables,
purple-rain-2,Purple Rain,https://cdn11.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/purple-rain-2.jpg,zapcables,
purplicious,Purplicious,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/purplicious.jpg,zapcables,
zombie-2,Zombie,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/zombie-2.jpg,zapcables,
neon-zombie,Neon Zombie,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/neon-zombie.jpg,zapcables,
turqouise-purple-diamonds,Turquoise and Purple Diamonds,https://cdn8.bigcommerce.com/s-prdpfsbvbl/product_images/uploaded_images/turqouise-purple-diamonds.jpg,zapcables,
